iteration	particle_num	MCS_value	fitness_value	original_fitness_value
24	j	0.936	1367.97	1179.23
24	k	0.946	1232.85	1181.92
24	l	0.926	1523.46	1179.52
24	m	0.939	1322.84	1177.41
24	n	0.943	1274.13	1183.3
24	o	0.934	1397.99	1179.6
25	a	0.932	1427.62	1179.06
25	b	0.939	1326.6	1180.76
25	c	0.943	1272.65	1181.93
25	d	0.936	1362.43	1174.45
25	e	0.934	1396.3	1178.18
25	f	0.932	1428.26	1179.59
25	g	0.936	1369.07	1180.18
25	h	0.936	1368.49	1179.68
25	i	0.927	1507.23	1179.61
25	j	0.941	1297.93	1180.08
25	k	0.937	1355.29	1180.84
25	l	0.942	1282.83	1178.81
25	m	0.939	1322.87	1177.44
25	n	0.931	1444.04	1179.89
25	o	0.917	1673.56	1175.17
26	a	0.962	1178.82	1178.82
26	b	0.938	1338.3	1178.54
26	c	0.947	1220.09	1182.1
26	d	0.941	1293.91	1176.43
26	e	0.935	1381.29	1178.05
26	f	0.946	1230.34	1179.5
26	g	0.948	1206.26	1181.1
26	h	0.946	1228.94	1178.16
26	i	0.926	1523.25	1179.36
26	j	0.95	1180.51	1180.51
26	k	0.935	1383.04	1179.55
26	l	0.945	1241.96	1178.12
26	m	0.945	1243.86	1179.93
26	n	0.928	1488.84	1177.86
26	o	0.935	1378.77	1175.9
27	a	0.947	1216.21	1178.34
27	b	0.923	1571.19	1177.63
27	c	0.943	1272.08	1181.4
27	d	0.96	1181.46	1181.46
27	e	0.942	1283.64	1179.55
27	f	0.941	1297.68	1179.86
27	g	0.938	1341.62	1181.46
27	h	0.927	1504.85	1177.75
27	i	0.935	1382.25	1178.87
27	j	0.943	1269.82	1179.3
27	k	0.936	1369.68	1180.71
27	l	0.941	1295.37	1177.76
27	m	0.94	1314.14	1182.18
27	n	0.927	1504.65	1177.6
27	o	0.936	1373.96	1184.4
28	a	0.925	1538.55	1178.4
28	b	0.932	1426.7	1178.3
28	c	0.944	1257.88	1180.66
28	d	0.929	1479.17	1182.88
28	e	0.929	1476.79	1180.97
28	f	0.931	1443.83	1179.71
28	g	0.926	1525.71	1181.26
28	h	0.935	1383.11	1179.6
28	i	0.935	1382.48	1179.07
28	j	0.95	1178.21	1178.21
28	k	0.927	1509.42	1181.33
28	l	0.942	1282.48	1178.49
28	m	0.944	1257.97	1180.74
28	n	0.944	1256.29	1179.16
28	o	0.95	1189.92	1189.92
29	a	0.94	1310.32	1178.74
29	b	0.941	1297.44	1179.64
29	c	0.937	1355.9	1181.38
29	d	0.932	1429.72	1180.8
29	e	0.945	1245.34	1181.32
29	f	0.925	1538.35	1178.24
29	g	0.936	1370.28	1181.22
29	h	0.944	1258.46	1181.2
29	i	0.942	1283.76	1179.66
29	j	0.945	1241.58	1177.76
29	k	0.944	1257.54	1180.34
29	l	0.931	1442.83	1178.9
29	m	0.944	1253.84	1176.86
29	n	0.946	1232.41	1181.5
29	o	0.954	1191.43	1191.43
30	a	0.942	1282.67	1178.66
30	b	0.931	1443.65	1179.57
30	c	0.935	1386.66	1182.63
30	d	0.946	1231.22	1180.35
30	e	0.935	1384.55	1180.83
30	f	0.927	1506.29	1178.88
30	g	0.949	1193.92	1181.41
30	h	0.936	1370.3	1181.24
30	i	0.944	1256.41	1179.27
30	j	0.911	1790.85	1177.62
30	k	0.938	1339.58	1179.67
30	l	0.937	1352.42	1178.34
30	m	0.929	1470.28	1175.77
30	n	0.93	1462.33	1182.06
30	o	0.945	1243.28	1179.37
31	a	0.933	1411.89	1178.64
31	b	0.938	1339.18	1179.31
31	c	0.941	1300.63	1182.54
31	d	0.938	1339.22	1179.35
31	e	0.952	1181.58	1181.58
31	f	0.939	1324.82	1179.17
31	g	0.934	1400.06	1181.36
31	h	0.948	1205.38	1180.24
31	i	0.935	1381.61	1178.33
31	j	0.929	1473.02	1177.96
31	k	0.941	1297.85	1180
31	l	0.928	1488.7	1177.75
31	m	0.912	1769.29	1176.28
31	n	0.935	1385.15	1181.35
31	o	0.935	1379.07	1176.16
32	a	0.94	1310.46	1178.87
32	b	0.935	1381.56	1178.28
32	c	0.939	1327.57	1181.62
32	d	0.952	1180.02	1180.02
32	e	0.926	1522.42	1178.71
32	f	0.945	1243.28	1179.37
32	g	0.949	1195.26	1182.74
32	h	0.944	1257.18	1180
32	i	0.941	1296.15	1178.46
32	j	0.932	1426.83	1178.41
32	k	0.943	1270.48	1179.91
32	l	0.929	1472.56	1177.59
32	m	0.943	1268.9	1178.45
32	n	0.941	1296.63	1178.9
32	o	0.926	1520.65	1177.34
33	a	0.942	1282.64	1178.63
33	b	0.94	1309.19	1177.73
33	c	0.945	1245.62	1181.59
33	d	0.946	1230.45	1179.62
33	e	0.932	1424.26	1176.29
33	f	0.945	1243.8	1179.87
33	g	0.941	1299.46	1181.47
33	h	0.943	1269.98	1179.44
33	i	0.928	1490.35	1179.05
33	j	0.932	1426.95	1178.51
33	k	0.939	1325.7	1179.95
33	l	0.945	1241.83	1178
33	m	0.939	1325.42	1179.71
33	n	0.924	1555.51	1178.58
33	o	0.933	1414.12	1180.5
34	a	0.927	1505.7	1178.42
34	b	0.918	1658.69	1177.48
34	c	0.943	1271.84	1181.17
34	d	0.944	1255.85	1178.75
34	e	0.937	1353.37	1179.17
34	f	0.93	1458.55	1179
34	g	0.936	1368.61	1179.79
34	h	0.941	1297.8	1179.96
34	i	0.942	1284.01	1179.89
34	j	0.938	1338.11	1178.38
34	k	0.942	1284.2	1180.07
34	l	0.93	1458.17	1178.7
34	m	0.931	1444.07	1179.91
34	n	0.944	1255.84	1178.74
34	o	0.944	1262.41	1184.91
35	a	0.931	1442.31	1178.47
35	b	0.915	1714.5	1177.91
35	c	0.94	1312.51	1180.71
35	d	0.928	1489.5	1178.38
35	e	0.936	1370.33	1181.26
35	f	0.942	1282.81	1178.79
35	g	0.927	1506.73	1179.22
35	h	0.932	1429.33	1180.47
35	i	0.935	1383.78	1180.18
35	j	0.946	1228.84	1178.07
35	k	0.951	1180.19	1180.19
35	l	0.931	1442.86	1178.92
35	m	0.934	1398.96	1180.42
35	n	0.935	1381.57	1178.29
35	o	0.945	1248.08	1183.92
36	a	0.942	1282.84	1178.82
36	b	0.932	1428.34	1179.66
36	c	0.943	1273.38	1182.61
36	d	0.94	1310.59	1178.99
36	e	0.933	1413.49	1179.97
36	f	0.938	1338.92	1179.09
36	g	0.934	1398.69	1180.2
36	h	0.935	1384.79	1181.04
36	i	0.937	1353.82	1179.56
36	j	0.933	1411.11	1177.99
36	k	0.952	1179.24	1179.24
36	l	0.939	1323.6	1178.08
36	m	0.945	1245.86	1181.82
36	n	0.942	1282.8	1178.78
36	o	0.945	1244.92	1180.93
37	a	0.938	1338.41	1178.64
37	b	0.944	1258.67	1181.4
37	c	0.954	1184.7	1184.7
37	d	0.922	1591.32	1179.86
37	e	0.937	1352.69	1178.57
37	f	0.95	1179.5	1179.5
37	g	0.947	1218.76	1180.82
37	h	0.944	1257.42	1180.23
37	i	0.939	1323.76	1178.23
37	j	0.933	1411.22	1178.08
37	k	0.934	1396.13	1178.04
37	l	0.935	1381.17	1177.95
37	m	0.937	1355.65	1181.16
37	n	0.934	1397.59	1179.27
37	o	0.947	1217.68	1179.77
38	a	0.942	1282.58	1178.58
38	b	0.941	1297.24	1179.45
38	c	0.952	1184.46	1184.46
38	d	0.934	1398.11	1179.7
38	e	0.94	1309.27	1177.8
38	f	0.946	1230.18	1179.35
38	g	0.937	1355.56	1181.08
38	h	0.948	1205.59	1180.45
38	i	0.922	1588.66	1177.89
38	j	0.928	1489.26	1178.19
38	k	0.937	1352	1177.98
38	l	0.946	1229.21	1178.42
38	m	0.934	1397.7	1179.36
38	n	0.959	1179.88	1179.88
38	o	0.933	1414.44	1180.77
39	a	0.94	1309.93	1178.39
39	b	0.941	1295.52	1177.89
39	c	0.941	1299.24	1181.27
39	d	0.943	1269.67	1179.15
39	e	0.928	1490.68	1179.31
39	f	0.942	1282.89	1178.86
39	g	0.936	1370.06	1181.03
39	h	0.924	1557.94	1180.41
39	i	0.922	1588.99	1178.13
39	j	0.947	1216.13	1178.27
39	k	0.925	1538.43	1178.3
39	l	0.928	1489.29	1178.21
39	m	0.94	1308.59	1177.19
39	n	0.94	1311.67	1179.96
39	o	0.926	1527.98	1183.01
40	a	0.947	1216.19	1178.32
40	b	0.924	1554.67	1177.93
40	c	0.934	1398.49	1180.03
40	d	0.936	1367.53	1178.85
40	e	0.935	1384.1	1180.45
40	f	0.925	1538.07	1178.03
40	g	0.943	1272.09	1181.41
40	h	0.934	1398.53	1180.06
40	i	0.926	1522.14	1178.5
40	j	0.942	1282.27	1178.29
40	k	0.937	1352.89	1178.75
40	l	0.95	1178.09	1178.09
40	m	0.928	1488.43	1177.53
40	n	0.938	1338.85	1179.03
40	o	0.936	1374.24	1184.64
41	a	0.941	1296.29	1178.59
41	b	0.957	1178.14	1178.14
41	c	0.945	1243.27	1179.37
41	d	0.923	1571.57	1177.92
41	e	0.935	1384.56	1180.85
41	f	0.943	1268.28	1177.87
41	g	0.951	1182.4	1182.4
41	h	0.936	1368.72	1179.88
41	i	0.956	1179.3	1179.3
41	j	0.928	1489.14	1178.09
41	k	0.932	1427.67	1179.1
41	l	0.932	1426.35	1178.01
41	m	0.939	1323	1177.55
41	n	0.945	1241.45	1177.64
41	o	0.946	1234	1183.02
42	a	0.937	1353.01	1178.86
42	b	0.943	1268.76	1178.31
42	c	0.95	1180.75	1180.75
42	d	0.932	1426.38	1178.03
42	e	0.949	1192.49	1180
42	f	0.939	1323.71	1178.18
42	g	0.938	1342.31	1182.08
42	h	0.94	1311.75	1180.03
42	i	0.937	1353.53	1179.31
42	j	0.942	1281.92	1177.97
42	k	0.938	1338.73	1178.92
42	l	0.937	1352.13	1178.09
42	m	0.934	1396.77	1178.57
42	n	0.934	1395.7	1177.68
42	o	0.944	1258.37	1181.11
43	a	0.953	1178.69	1178.69
43	b	0.925	1537.93	1177.92
43	c	0.942	1285.63	1181.37
43	d	0.943	1269.32	1178.83
43	e	0.944	1256.28	1179.15
43	f	0.951	1179.45	1179.45
43	g	0.929	1476.34	1180.62
43	h	0.941	1298.19	1180.32
43	i	0.948	1203.58	1178.48
43	j	0.94	1309.66	1178.15
43	k	0.925	1538.61	1178.45
43	l	0.933	1411.15	1178.02
43	m	0.911	1793.06	1179.08
43	n	0.936	1368.06	1179.31
43	o	0.939	1324.83	1179.18
44	a	0.938	1337.89	1178.18
44	b	0.941	1295.79	1178.14
44	c	0.931	1443.57	1179.5
44	d	0.924	1557.74	1180.26
44	e	0.941	1297.47	1179.66
44	f	0.939	1325.38	1179.67
44	g	0.939	1324.72	1179.08
44	h	0.938	1341.07	1180.99
44	i	0.929	1473.04	1177.97
44	j	0.925	1538.37	1178.26
44	k	0.931	1442.55	1178.67
44	l	0.938	1337.77	1178.08
44	m	0.936	1368.99	1180.11
44	n	0.932	1429.42	1180.55
44	o	0.923	1571.2	1177.64
45	a	0.931	1441.56	1177.86
45	b	0.92	1623.87	1178.13
45	c	0.93	1457.74	1178.35
45	d	0.938	1340.45	1180.44
45	e	0.95	1180	1180
45	f	0.94	1310.69	1179.08
45	g	0.938	1339.51	1179.61
45	h	0.942	1285.86	1181.59
45	i	0.929	1473.11	1178.03
45	j	0.939	1324.3	1178.71
45	k	0.936	1367.9	1179.17
45	l	0.932	1426.45	1178.1
45	m	0.94	1311.84	1180.11
45	n	0.932	1428.67	1179.93
45	o	0.941	1297.42	1179.61
46	a	0.917	1677.48	1177.92
46	b	0.928	1488.23	1177.37
46	c	0.936	1367.51	1178.84
46	d	0.944	1256.03	1178.92
46	e	0.943	1268.83	1178.38
46	f	0.938	1338.15	1178.41
46	g	0.948	1205.45	1180.31
46	h	0.939	1327.66	1181.7
46	i	0.946	1229.38	1178.59
46	j	0.935	1381.88	1178.56
46	k	0.933	1411.98	1178.72
46	l	0.933	1411.22	1178.08
46	m	0.928	1491.69	1180.11
46	n	0.929	1473.63	1178.44
46	o	0.935	1384.32	1180.64
47	a	0.952	1178.35	1178.35
47	b	0.933	1410.46	1177.45
47	c	0.939	1325.4	1179.69
47	d	0.948	1204.14	1179.03
47	e	0.941	1295.2	1177.6
47	f	0.935	1381.9	1178.58
47	g	0.925	1540.85	1180.17
47	h	0.937	1355.29	1180.84
47	i	0.938	1338.54	1178.76
47	j	0.937	1352.14	1178.1
