iteration	particle_num	MCS_value	fitness_value	original_fitness_value
8	11	0.984	inf	inf
8	12	0.997	inf	inf
8	13	0.993	inf	inf
8	14	0.984	inf	inf
8	15	0.988	inf	inf
8	16	0.99	inf	inf
8	17	0.98	6511.65	6511.65
8	18	0.992	inf	inf
8	19	0.982	6679.35	6679.35
8	20	0.988	6605.4	6605.4
8	21	0.982	inf	inf
8	22	0.996	6552.5	6552.5
8	23	0.994	inf	inf
8	24	0.997	inf	inf
8	25	0.997	inf	inf
8	26	0.982	6594.86	6594.86
8	27	0.984	6475.21	6475.21
8	28	0.979	inf	inf
8	29	0.987	6499.49	6499.49
8	30	0.982	inf	inf
8	31	0.989	inf	inf
8	32	0.991	6576.65	6576.65
8	33	0.995	inf	inf
8	34	0.983	inf	inf
8	35	0.988	6529.91	6529.91
8	36	0.973	6512.9	6512.9
8	37	0.981	6524.5	6524.5
8	38	0.983	inf	inf
8	39	0.987	6455.17	6455.17
8	40	0.985	inf	inf
8	41	0.973	inf	inf
8	42	0.989	inf	inf
8	43	0.992	inf	inf
8	44	0.972	inf	inf
8	45	0.981	6547.13	6547.13
8	46	0.979	inf	inf
8	47	0.982	6535.23	6535.23
8	48	0.984	inf	inf
8	49	0.996	inf	inf
8	50	0.995	inf	inf
8	51	0.994	inf	inf
8	52	0.985	6533.51	6533.51
8	53	0.983	6539.13	6539.13
8	54	0.988	6607.95	6607.95
8	55	0.995	6542.41	6542.41
8	56	0.979	6658.73	6658.73
8	57	0.983	6474.78	6474.78
8	58	0.98	6548.9	6548.9
8	59	0.995	inf	inf
8	60	0.987	inf	inf
8	61	0.994	inf	inf
8	62	0.994	inf	inf
8	63	0.987	inf	inf
8	64	0.976	inf	inf
8	65	0.992	6647.29	6647.29
8	66	0.987	inf	inf
8	67	0.994	inf	inf
8	68	0.988	inf	inf
8	69	0.979	inf	inf
8	70	0.997	inf	inf
8	71	0.979	inf	inf
8	72	0.99	6635.25	6635.25
8	73	0.985	inf	inf
8	74	0.993	6539.39	6539.39
8	75	0.977	inf	inf
8	76	0.988	6586.15	6586.15
8	77	0.978	6520.44	6520.44
8	78	0.991	inf	inf
8	79	0.991	6582.9	6582.9
9	0	0.975	inf	inf
9	1	0.979	inf	inf
9	2	0.995	inf	inf
9	3	0.986	inf	inf
9	4	0.974	6623.33	6623.33
9	5	0.98	inf	inf
9	6	0.996	inf	inf
9	7	0.979	inf	inf
9	8	0.981	inf	inf
9	9	0.986	inf	inf
9	10	0.982	inf	inf
9	11	0.984	inf	inf
9	12	0.994	inf	inf
9	13	0.986	inf	inf
9	14	0.989	6564.43	6564.43
9	15	0.989	inf	inf
9	16	0.983	inf	inf
9	17	0.983	inf	inf
9	18	0.989	inf	inf
9	19	0.991	inf	inf
9	20	0.986	inf	inf
9	21	0.977	inf	inf
9	22	0.983	6526.01	6526.01
9	23	0.986	6545.34	6545.34
9	24	0.995	inf	inf
9	25	0.991	inf	inf
9	26	0.976	inf	inf
9	27	0.985	6441.64	6441.64
9	28	0.98	inf	inf
9	29	0.98	inf	inf
9	30	0.985	inf	inf
9	31	0.994	inf	inf
9	32	0.991	inf	inf
9	33	0.99	inf	inf
9	34	0.981	inf	inf
9	35	0.989	inf	inf
9	36	0.985	6479.05	6479.05
9	37	0.974	6538.75	6538.75
9	38	0.994	inf	inf
9	39	0.981	6486	6486
9	40	0.992	6623.93	6623.93
9	41	0.972	inf	inf
9	42	0.993	6559.84	6559.84
9	43	0.994	inf	inf
9	44	0.976	6478.25	6478.25
9	45	0.967	inf	inf
9	46	0.978	6481.51	6481.51
9	47	0.97	6562.52	6562.52
9	48	0.987	6579.14	6579.14
9	49	0.987	6591.77	6591.77
9	50	0.997	inf	inf
9	51	0.997	inf	inf
9	52	0.978	inf	inf
9	53	0.97	inf	inf
9	54	0.981	inf	inf
9	55	0.989	inf	inf
9	56	0.989	6595.87	6595.87
9	57	0.989	6450.49	6450.49
9	58	0.98	inf	inf
9	59	0.987	inf	inf
9	60	0.976	inf	inf
9	61	0.987	6654.73	6654.73
9	62	0.995	inf	inf
9	63	0.991	inf	inf
9	64	0.975	inf	inf
9	65	0.985	inf	inf
9	66	0.985	inf	inf
9	67	0.982	inf	inf
9	68	0.984	inf	inf
9	69	0.98	inf	inf
9	70	0.997	6673.05	6673.05
9	71	0.982	inf	inf
9	72	0.989	inf	inf
9	73	0.983	6515.91	6515.91
9	74	0.988	6508.58	6508.58
9	75	0.98	inf	inf
9	76	0.988	inf	inf
9	77	0.974	6513.48	6513.48
9	78	0.986	inf	inf
9	79	0.995	inf	inf
10	0	0.972	6445.84	6445.84
10	1	0.977	inf	inf
10	2	0.989	inf	inf
10	3	0.989	6566.87	6566.87
10	4	0.983	6557.84	6557.84
10	5	0.979	6453.73	6453.73
10	6	0.985	inf	inf
10	7	0.986	inf	inf
10	8	0.977	6467.69	6467.69
10	9	0.983	inf	inf
10	10	0.985	6548.91	6548.91
10	11	0.986	inf	inf
10	12	0.985	inf	inf
10	13	0.985	inf	inf
10	14	0.993	6570.99	6570.99
10	15	0.99	inf	inf
10	16	0.997	6577.89	6577.89
10	17	0.985	inf	inf
10	18	0.982	6515.29	6515.29
10	19	0.985	inf	inf
10	20	0.981	inf	inf
10	21	0.974	6450.38	6450.38
10	22	0.981	inf	inf
10	23	0.99	inf	inf
10	24	0.988	inf	inf
10	25	0.988	inf	inf
10	26	0.975	inf	inf
10	27	0.978	6454.71	6454.71
10	28	0.975	inf	inf
10	29	0.974	6436.21	6436.21
10	30	0.986	inf	inf
10	31	0.982	inf	inf
10	32	0.982	inf	inf
10	33	0.99	inf	inf
10	34	0.99	6551.39	6551.39
10	35	0.986	inf	inf
10	36	0.97	6477.53	6477.53
10	37	0.976	6515.4	6515.4
10	38	0.992	inf	inf
10	39	0.983	inf	inf
10	40	0.982	inf	inf
10	41	0.977	6529.55	6529.55
10	42	0.989	inf	inf
10	43	0.984	6566.51	6566.51
10	44	0.966	6440.97	6440.97
10	45	0.968	6464.08	6464.08
10	46	0.975	6468.5	6468.5
10	47	0.977	inf	inf
10	48	0.979	inf	inf
10	49	0.989	inf	inf
10	50	0.986	6529.29	6529.29
10	51	0.997	inf	inf
10	52	0.971	6447.01	6447.01
10	53	0.974	inf	inf
10	54	0.987	inf	inf
10	55	0.986	6512.79	6512.79
10	56	0.981	inf	inf
10	57	0.978	6457.5	6457.5
10	58	0.981	6495.39	6495.39
10	59	0.987	inf	inf
10	60	0.985	6517.74	6517.74
10	61	0.973	inf	inf
10	62	0.987	6539.26	6539.26
10	63	0.991	inf	inf
10	64	0.987	inf	inf
10	65	0.988	6490.33	6490.33
10	66	0.983	6530.52	6530.52
10	67	0.986	6538.48	6538.48
10	68	0.986	inf	inf
